type_id,vale_max_buy,vale_min_sell,vale_available,jita_max_buy,jita_min_sell,jita_available
216,0.1,,,4.04,5.98,15820824.0
217,0.1,18.24,325959.0,10.89,12.49,16056361.0
218,0.1,,,12.9,22.5,7959138.0
219,1.1,,,13.47,20.0,3368977.0
220,1.08,,,12.54,16.19,6759209.0
221,1.1,,,16.95,20.0,6361406.0
222,2.09,100.0,800.0,29.63,28.0,18145375.0
223,1.1,,,38.24,47.99,4623951.0
224,1.09,,,25.98,27.0,5359358.0
225,1.08,,,30.53,44.0,1221907.0
226,2.08,,,50.25,56.98,2597887.0
227,1.08,,,56.63,54.3,4808270.0
228,2.1,,,50.49,54.44,1762833.0
229,1.07,,,63.74,61.0,2545140.0
230,2.09,88.0,18327.0,81.02,79.8,9583785.0
231,1.1,45.98,10572.0,35.1,37.44,5467942.0
232,2.1,,,45.62,87.34,3623341.0
233,3.03,65.0,7898.0,64.78,71.99,1595278.0
234,3.1,34.4,14900.0,20.89,38.51,3880168.0
235,3.06,80.0,35899.0,83.42,99.44,1896303.0
236,22.06,83.9,96860.0,94.9,101.4,2437920.0
237,3.08,79.99,205681.0,45.34,119.4,3015033.0
238,29.96,398.8,8993.0,260.8,316.8,12691219.0
239,,,,102.7,5.2,27767.0
240,,,,3967.0,1807.0,21382.0
241,,,,626.1,1200.0,4739.0
242,,6999.0,190.0,1347.0,7000.0,8728.0
243,,,,2225.0,5.21,17389.0
244,,,,501.4,1083.0,18176.0
245,,,,300.7,1.02,7529.0
246,,,,6108.0,6109.0,27044.0
247,,,,12940.0,25000.0,2057.0
248,,6000.0,187.0,6347.0,10000.0,2150.0
249,,10000.0,1310.0,1102.0,4200.0,2496.0
250,,,,5003.0,14830.0,2527.0
251,,,,10280.0,20000.0,7607.0
252,,,,10010.0,20000.0,5492.0
253,,,,122.8,13250.0,2777.0
254,,40000.0,950.0,16000.0,18000.0,6348.0
255,,195000.0,722.0,95010.0,125000.0,896.0
256,,555300.0,479.0,22080.0,22090.0,1641.0
257,,70000.0,103.0,40090.0,40000.0,1913.0
258,,150000.0,401.0,31090.0,31100.0,4679.0
259,,140200.0,479.0,24150.0,49200.0,3226.0
260,,222200.0,529.0,44590.0,79900.0,891.0
261,,273500.0,4.0,57690.0,125000.0,2842.0
262,,788600.0,2.0,236000.0,234000.0,2191.0
263,,599.8,18382.0,108.7,174.9,415784.0
264,,3000.0,249.0,793.4,879.9,230219.0
266,0.01,10.0,851.0,4.57,5.0,28289130.0
267,24.45,550.0,442971.0,487.6,487.7,655875.0
269,,,,14.68,14.69,20838799.0
377,1.0,95000.0,94.0,11270.0,16500.0,78658.0
