type_id,lowest,average,highest,volume
450,11950.0,11950.0,11950.0,4.0
451,,,,
452,,,,
453,67000.0,67000.0,67000.0,5.0
454,,,,
455,,,,
456,,,,
457,,,,
458,,,,
459,,,,
460,,,,
461,,,,
462,2800000.0,2800000.0,2800000.0,8.0
463,,,,
464,2500000.0,2500000.0,2500000.0,1.0
482,777900.0,778364.9,779000.0,50.0
483,36220.0,43354.4,55000.0,28.0
484,7900.0,7900.0,7900.0,67.0
485,,,,
486,,,,
487,28000.0,28000.0,28000.0,10.0
488,79000.0,79800.0,80000.0,41.0
489,190000.0,190000.0,190000.0,4.0
490,,,,
491,,,,
492,,,,
493,294900.0,294900.0,294900.0,5.0
494,,,,
495,,,,
496,,,,
497,,,,
498,,,,
499,,,,
501,99990.0,99995.33333333333,100000.0,21.0
503,,,,
506,,,,
508,,,,
509,,,,
518,,,,
519,1170500.0,1276000.535,1499000.0,430.0
520,49870.0,49870.0,49870.0,6.0
521,,,,
522,,,,
523,,,,
524,,,,
526,41980.0,41990.0,42000.0,18.0
527,600100.0,1261434.5033333332,1799000.0,386.0
529,,,,
530,,,,
533,,,,
561,,,,
562,,,,
563,,,,
564,98500.0,99617.5,99990.0,61.0
565,120000.0,120000.0,120000.0,4.0
566,250000.0,250000.0,250000.0,43.0
567,40000.0,40000.0,40000.0,13.0
568,200000.0,200000.0,200000.0,9.0
569,,,,
570,233000.0,233000.0,233000.0,25.0
571,,,,
572,,,,
573,,,,
574,,,,
575,,,,
577,74010.0,74010.0,74010.0,1.0
578,169900.0,196481.54714285716,199000.0,32.0
580,85000.0,85000.0,85000.0,14.0
581,,,,
582,677600.0,677600.0,677600.0,4.0
583,799900.0,833300.0,875000.0,5.0
584,1228000.0,1239708.3333333333,1298000.0,13.0
585,950000.0,950000.0,950000.0,51.0
586,850000.0,850000.0,850000.0,1.0
587,910000.0,928350.0,940000.0,8.0
588,,,,
589,499900.0,719966.6666666666,860000.0,3.0
590,799900.0,799900.0,799900.0,3.0
591,,,,
592,60000.0,370000.0,680000.0,2.0
593,700000.0,738533.334,750900.0,13.0
594,35000.0,376425.0,540000.0,5.0
596,,,,
597,999900.0,1071066.6666666667,1676000.0,10.0
598,70000.0,503333.3333333333,720000.0,3.0
599,,,,
601,,,,
602,700000.0,737500.0,750000.0,4.0
603,50000.0,290151.19,797500.0,14.0
605,675000.0,677700.4616666667,680000.0,70.0
606,,,,
607,798700.0,799175.0,800000.0,9.0
608,1543000.0,3266500.0,4990000.0,11.0
609,859300.0,859600.0,859900.0,6.0
615,,,,
617,,,,
620,11000000.0,11256818.182500001,11490000.0,28.0
621,14170000.0,14210772.846666666,14250000.0,246.0
622,8100000.0,14177802.197999999,14400000.0,31.0
623,10005000.0,14095129.87,15060000.0,26.0
624,14000000.0,14496666.666666666,15000000.0,7.0
625,11490000.0,11490000.0,11490000.0,6.0
626,10650000.0,14682071.976666667,15355000.0,215.0
627,15000000.0,15306041.666666666,15980000.0,15.0
628,11500000.0,12117500.0,15000000.0,14.0
629,15500000.0,15700000.0,15800000.0,6.0
630,19000000.0,19000000.0,19000000.0,5.0
631,10000000.0,11246305.556666667,12000000.0,35.0
632,11500000.0,11500000.0,11500000.0,6.0
633,11910000.0,11977500.0,12000000.0,8.0
634,3000000.0,10500000.0,12000000.0,24.0
635,,,,
638,448500000.0,448500000.0,448500000.0,1.0
639,349900000.0,352325000.0,354800000.0,3.0
640,,,,
641,420000000.0,420000000.0,420000000.0,6.0
642,,,,
643,,,,
644,,,,
645,,,,
